Nom_Medicament,Description,Prix,Categorie_Id,Fournisseur_Id,Quantite,Ordonnance_ou_Non
Enalapril,Inhibiteur de l'enzyme de conversion de l'angiotensine,9.79,8,108,33,1
Magnesium Oxide,Suppl�ment alimentaire,4.29,9,109,70,0
Azithromycin,Antibiotique,16.49,3,103,25,1
Hydroxyzine,Anxiolytique,12.89,10,110,18,0
Montelukast,Leukotriene receptor antagonist,14.99,4,104,40,1
Nitroglycerin,Vasodilator,7.59,2,102,15,1
Ezetimibe,Cholesterol absorption inhibitor,18.99,8,108,28,1
Bisacodyl,Laxative,5.79,6,106,50,0
Calcitonin,Thyroid hormone,11.59,7,107,20,0
Hydrocortisone,Corticosteroid,6.79,4,104,38,1
